Num,artwork_name,instagram_account,Artist_name,KeyWords,description,Material,Dimensions
11,"Lobotomy of the Body","","Maja Usak","Mind, Body, Technology, Decay, Expansion","Hunger wrapped in skin. A primitive machine, useless, dysfunctional. It gasps for air, its organs lie heavy, its limbs weak. You can feel it too. Falling behind, serving no higher purpose. you can't deny it. We have outgrown it. Its heart pacing, struggling to Keep up. Its lungs filled with useless filthy air. You stretch out a hand, a reflex, nothing more. An attempt—— trying to prove it still serves a purpose. But it doesn't. It's pointless. A crude mechanism, outdated. Inefficient. It has nothing left to offer. We have moved on. No more hunger, no more twitching no more trembling. Let the body decay. We are not creatures of impulse anymore. We do not live for the now. 'Lobotomy of the body' takes on philosophies of Jean Baudrillard's 'Metamorphoses metaphors metastases' and explores the disconnection between mind and body in the context of technological progress. The body, now a decaying vessel, is slowly getting consumed by the ever-expanding mind.","steel plates, LCD screens, liquid latex, wires, composed perfume","180×120×15cm"
12,"A Graphic Tone","","Vlad Omelianenko","Intertextuality, Translation, Rubbing, Graphite, Graphic","""Graphite is soft carbon. Were it hard enough to withstand contact and remain totally self-contained it would not be useful for writing. Graphite gives up some of itself upon contact with paper. Graphite suffers a loss that leaves a mark."" —Nathaniel Mackey Translation is entirely mysterious. In his work, Vlad Omelianeko is trying to see the creation process as one of translation rather than anything else. What is it that gets translated? What is the original? Translation shows that language is a slippery thing. It also always comes in a certain form, be it on a paper, on a screen, or a voice. A voice is not a visual form. ""A Graphic Tone"". The work is a collage of rubbings or marks, which Vlad traces and leaves behind. It is trying to find and seize the connection between ""graphite""—to rub, to mark, to affect, to touch—and ""graphic""—a form, to write, to create—reflecting on the above mentioned question.","paper, graphite","210×210×50cm"
13,"Rituals","","Maya Sagara Curé","Asceticism, Veiling, Non-attachment, Perception, Vestige","The artist's installation recreates a bathroom, reflecting the metamorphosis her mother went through from being a model to becoming a Buddhist nun. This space represents her current state of mind inspired by asceticism, veiling and memory. The objects that were once part of her rituals now serve as vestiges of her past as their meanings changed. They bear witness to a life shaped by physical appearance and the male gaze. She now exits in a paradox, she is both looked at and overlooked. The absence of a functional mirror symbolises her detachment from self-image: ""You see yourself through the eyes of the others."" Maya explores how a physical transformation can serve as a means of expressing an internal change to the outside world. She shows how this process allows intimacy to be communicated beyond words.","plastic, fabric, hair","170×150×175cm"
14,"Coming in and going out","@nam.ji.yun","Jiyun Nam","Coexistence, Metabolizing, Microbe, Fermentation, Interactive","Jiyun presents an installation that visualizes the transformation of sugar and tea into kombucha through the fermentation process of a SCOBY (Symbiotic Culture of Bacteria and Yeast) over time. SCOBY, a microbial culture where bacteria and yeast coexist, absorbs nutrients and organic matter from its environment, metabolizing them into a new living substance—kombucha. This metabolic process is not merely a chemical reaction but is deeply connected to the cycles of life, as well as the boundaries between life and death. The impact of these microbial activities gradually expands, manifesting through visible physical transformations. Similarly, the human body is not an isolated entity but a system that coexists with microbes. Every day, we consume food, digest it, and rely on microbial interactions to sustain our bodies, constantly exchanging matter with the environment. Through the act of consuming the kombucha produced by SCOBY, the artist poses the questions. ""What do we take in, and what do we release?""","yeast, bacteria, tea, sugar, glass","150×250×100cm"
15,"Sleeping Enough?","@mir.__.on","Miron Konurbaev","Sleep, Productivity, Work culture, Time, Mindset","""There will be sleeping enough in the grave."" —Benjamin Franklin Many people share this mindset today. The culture of overconsumption, over production and overwork tells us that sleep is a waste of time, a disposable commodity that can be traded in for productivity. —""Sleeping enough?"" is an exploration of our relationship with sleep. Through a collection of videos, Miron is trying o grasp various aspects of productivity-driven work culture — particularly within the digital realm — and how these affect our sleeping habits. Snugly lying on the mattress, six screens challenge the existing narrative about sleep, each posing a different question. Who sleeps in our society according to Google Images? How productive could we be if we didn't have to sleep at all? And what if we planned time for sleep as rigorously as we plan time for work? Questioning the dominating mindset, this project seeks healthier alternatives and invites the viewer to rethink their own attitude towards sleep.","screens (monitors & tablets of different sizes), video and sound, mattress and bedding","60×200×100cm"
16,"Fragile Society","","Alex Rainer","Fragility, Exhaustion, Frustration, Destruction, Tiredness","In times where we happily exploit our selves for achievements or short-lived stimuli, where life outside of work, culture, rituals all in the same way lead us back to work. In these times our society accelerates towards psychological and emotional overload, where the boundaries between rest and work blur. By shattering words like ""24/7"", ""Non Stop"", or ""Hyperactive"", the work of the artist visually explores and communicates how constructs once considered unbreakable can be dismantled and reshaped. Not just the act of shattering but also the material itself, the glass so fragile and delicate, possesses the capacity for transformation. Once shattered, it can be melted down and reformed into something entirely new. While the act of breaking may initially appear destructive or inappropriate, it can also serve as a powerful catalyst for profound change that sometimes involves confronting discomfort.","glass, spray paint, aluminium tape, wood board","250×120×10cm"
17,"Light: New World","","Hlynur Sævarsson","Light, Darkness, Nature, Sight, Hyper realism","In Light: New World, Hlynur explores our perception of light and sight. In a void, a digital space that resembles reality is slowly brought to light. Small portions of what we perceive to be light slowly reveals our surroundings. What would it look like to gain access to a new way of sensing our surroundings? In the artwork, Hlynur creates a new virtual world that manipulates light in unnatural ways, revealing the surrounding landscapes and nature. By making the installation in virtual reality, Hlynur eliminates the limitations of reality and the space becomes endless. Light is manipulated in abstract ways that resemble the abstract idea of gaining access to new senses. In the virtual space the viewer can take a seat in the familiar Monobloc chair which serves as a way of grounding and familiarity.","Virtual reality headset, chair, dirt and flowers","100×100×100cm"
18,"Iconostasis 10","@urfather4eva","Eva Georgescu","Sacrilege, Subversion, Socialization, Orthodoxism, Queerness","Sacrilege is an act of deep affirmation and repositioning against the dominant culture. In this installation, the artist seeks to reflect on the omnipresence of religion and its role in the discourse concerning queerness. Many queer Romanians have been involved in some capacity with Orthodxism, or religion in general and have been confronted by hateful messaging. As they reinven themselves by unlearning these prevailing narratives, they go through a subversive transformation process, by re-appropriating and morphing religious imagery. The artist's work is in and of itself a process of transformation, an act of sacrilege. The wooden structure represents the three doors of an Orthodox iconostasis, which are only to be entered by men. The cutout of the two lesbians sexually engaging with each other plays with the idea of visibility beyond the frame. It claims space from the religious authorities who are guarding womxn from accessing the sacred.","wood, acrylic paint","250×375×100cm"
19,"Verses of Destruction","","Omid Nemalhabib","Destruction, Poetry, Language, Time, Power","Do you know who truly rules this land? It is the one who turns every thing you see into ruin. In the end, the house of tyranny will collapse; What stands tall today will crumble tomorrow. The noble and the worthy have sunk into the depths of destruction, The city once home to the great is now trampled by strangers. —Hafez (1315–1390) Inspired by Hafez's poem, Omid presents a vision of decay and destruction in his installation, exploring the transformation of societies and the concept of metamorphosis in politics and history. Through fragments of stone, cement blocks, soil, and burnt paper inscribed with verses and patterns, the scene portrays ruins and the inevitable collapse of power. The artist's presence—sitting on a stool and carving into stone—symbolizes the struggle to preserve memory amid decay. As he reads the poem in both Farsi and English, the performance reflects on how power rises and falls, leaving behind remnants that speak of impermanence and the relentless cycle of history.","Stone, letter carving tools, cement blocks, soil, and burnt paper","300×300×300cm"
20,"My Believes","","Suzie Veldhuijzen","Religion, Believe, Doubt, Search, Confidence","""People who have a religion should be glad, for not everyone has the gift of believing in heavenly things."" —Anne Frank When the artist was 7, she felt jealous of people who believe. So she made up her own religion by drawing a third eye on a doll to represent her own god, and she built a hut in her room. The hut became a place for everyday prayer. Although she didn't know how to pray. This experimental religion ended after a week. Suzie is still interested in religion but can't seem to find her own faith. She lost confidence to be sure about what she believes without questioning it. Her creative, innocent and naive power which she had when she was 7 has disappeared. In her work Suzie is searching for this feeling of real trust in herself and in her own beliefs. She invites you into the hut she made when she was 7 to think about your own believe and how this has been shaped over the years.","cabinets, blanket, God figure","100×300×100cm"
